LAB,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L,a,b,C,H,染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,標記,標準色片,單色光,revised,abort
F17BNF010,25.66,23.7,22.15,21.58,21.44,21.53,23.63,26.45,28.85,29.38,27.75,25.26,22.72,19.99,17.6,15.62,14.0,12.44,11.2,10.52,10.28,10.19,10.09,10.13,10.51,12.05,15.31,18.95,26.17,32.02,39.83,48.33,-15.56,-12.55,19.99,218.89,227-1,0.08,244-4,0.0226,264-1,0.455,,,LF520019,,,FVF2429,0,0
L17ANF010,51.89,50.09,45.34,43.16,42.24,39.54,42.79,47.99,49.47,48.81,47.65,45.4,43.23,42.53,42.14,41.05,39.86,40.25,40.75,40.96,41.33,41.57,40.83,39.79,39.92,42.56,49.29,58.23,68.63,74.2,81.24,71.22,-2.13,-1.71,2.73,218.63,122,0.038,142,0.045,162,0.049,,,FVF3495,,,FVF2429,0,0
L17ANF013,13.26,11.05,9.91,9.2,8.83,8.67,8.83,9.2,9.85,10.77,11.6,12.26,12.8,13.21,13.42,13.46,13.15,12.63,12.11,11.69,11.24,10.93,10.81,11.12,12.3,14.45,17.58,20.45,24.17,26.5,29.69,41.61,-3.95,8.72,9.57,114.37,227-1,0.068,432,0.82,461-9,0.95,,,FVF4024,,,FVF2184,0,0
F17BNF018,7.36,5.68,4.88,4.63,4.5,4.42,4.4,4.4,4.41,4.42,4.45,4.47,4.47,4.42,4.38,4.28,4.11,3.96,3.84,3.77,3.71,3.69,3.73,3.9,4.26,4.96,6.24,8.22,11.92,15.48,22.08,24.36,-0.49,-1.72,1.79,254.1,F2I,1.403,F4I,0.21,F6S,1.44,,,FVF4024,,,FVF2184,0,0
L15ANN031	,29.29,31.55,34.0,35.09,34.6,32.56,29.13,25.73,22.04,18.79,16.14,13.64,11.6,9.85,8.42,7.11,5.97,5.05,4.41,4.0,3.64,3.44,3.35,3.5,3.98,4.92,6.32,7.57,9.02,9.95,11.54,36.36,6.08,-43.53,43.95,277.95,261-8,0.39,F6J,0.87,,,,,FVF2775,,,FVF2666,0,0
L162NN121,9.12,7.41,6.44,5.01,4.0,3.29,0.85,2.61,2.48,2.43,2.46,2.56,2.77,3.19,3.71,4.45,5.67,8.42,13.59,21.96,34.87,50.67,64.56,75.56,82.23,84.74,86.47,86.56,85.73,84.84,86.0,45.39,59.32,39.25,71.13,33.49,322-6,0.039,F24-3,1.0,F4S-5,1.66,,,FVF2775,,,FVF2666,0,0
L162NN122,24.12,24.61,24.61,23.59,21.87,19.57,17.41,15.37,13.09,10.85,8.84,7.29,6.38,5.45,4.63,4.31,4.16,4.01,3.72,3.71,4.0,4.67,5.24,6.02,7.46,10.07,14.4,18.9,27.85,34.91,43.72,29.97,16.63,-35.41,39.12,295.15,227-1,0.03,F51-5,1.54,F6J,0.53,,,FVF2775,,,FVF2666,0,0
L162NN123,52.62,54.91,56.02,55.32,52.88,49.45,45.28,41.6,37.86,34.41,31.08,28.56,27.23,25.39,23.45,23.02,24.05,24.37,23.89,24.4,28.74,38.56,50.7,61.66,67.84,70.27,71.04,71.1,70.21,69.77,71.72,61.92,24.96,-21.79,33.14,318.88,F51-5,0.262,261-8,0.0045,,,,,FVF2775,*,,FVF2666,0,0
L162NN125,32.84,35.05,38.5,41.29,44.0,47.24,49.96,50.33,47.99,44.17,40.0,35.62,31.58,27.57,23.88,20.38,17.36,14.76,12.58,10.78,9.17,7.8,6.77,6.11,5.77,5.52,5.32,5.24,5.11,5.23,5.94,54.61,-19.14,-31.96,37.25,239.09,227-1,0.0028,F6C-5,2.1,,,,,FVF2775,,,FVF2666,0,0
L162NN130,39.78,42.33,44.45,44.87,43.36,40.12,35.9,32.09,28.14,24.67,21.7,19.04,17.0,15.06,13.34,11.92,10.78,9.62,8.73,8.15,7.8,7.67,7.73,8.29,9.96,13.04,18.01,23.17,33.65,42.14,52.63,44.69,7.16,-39.89,40.53,280.18,F51-5,0.13,F6J,0.36,,,,,FVF2775,,,FVF2666,0,0
L165NN124	,12.86,10.86,9.22,7.37,5.82,4.62,3.79,3.32,2.98,2.77,2.68,2.67,2.76,2.97,3.33,3.82,4.9,7.43,12.33,20.36,32.52,46.95,59.98,71.52,79.17,82.4,84.48,84.64,83.79,82.93,84.75,44.12,59.32,29.43,66.21,26.39,F24-3,0.56,F4S-5,2.68,F4A-3,0.25,,,FVF2429,,,FVF2429,0,0
L165NN125	,55.53,54.41,49.04,46.24,45.05,41.63,44.24,48.42,48.38,46.66,45.5,43.23,41.27,42.12,43.9,43.98,43.59,49.35,60.99,73.82,83.98,88.92,90.72,91.39,91.48,91.7,91.92,92.02,91.01,91.85,91.96,78.98,24.41,9.77,26.29,21.82,122,0.035,142,0.09,,,,,FVF2429,,,FVF2429,0,0
L165NN129	,9.32,7.68,7.07,6.86,6.74,6.68,6.7,6.74,6.86,7.02,7.23,7.48,7.89,8.47,9.32,10.62,12.54,15.79,20.86,27.63,36.33,46.03,54.87,62.95,69.4,73.98,77.37,79.14,80.84,81.68,83.39,50.25,42.65,32.42,53.57,37.24,432,0.87,F4A-3,0.41,F4U-7,0.18,,,FVF2429,,,FVF2429,0,0
L165NN132	,21.71,19.75,18.1,17.15,16.5,16.22,16.27,16.49,17.21,18.17,19.06,19.8,20.21,20.21,19.88,19.23,18.35,17.08,15.93,15.21,14.98,14.9,14.77,14.77,15.18,16.97,20.59,24.44,31.3,36.48,43.23,49.34,-6.74,2.05,7.05,163.12,223-3,0.15,F24-3,0.028,,,,,FVF5118,,,FVF2666,0,0
L165NN135	,7.14,5.62,5.31,5.2,5.18,5.29,5.54,5.82,6.2,6.51,6.74,6.85,6.86,6.72,6.5,6.17,5.72,5.31,4.92,4.66,4.42,4.32,4.3,24.49,4.78,5.4,6.61,8.01,11.63,15.36,21.31,41.78,-7.98,-36.31,37.18,257.61,227-1,0.0125,F6C-5,3.0,F6J,0.41,,,FVF2666,,,FVF2666,0,0
L165NN136	,60.16,59.76,56.15,54.15,53.55,50.86,54.49,60.2,62.04,61.33,59.17,56.3,53.45,50.71,48.03,45.67,43.76,41.66,39.61,38.33,38.11,38.18,37.47,36.46,36.58,39.39,46.09,53.47,65.97,73.85,81.86,74.1,-9.47,8.95,13.03,223.4,122,0.0165,142,0.0086,162,0.0645,,,FVF2666,,,FVF2666,0,0
L165NN138	,71.21,73.92,74.7,74.92,74.16,72.76,71.17,69.76,67.46,65.48,64.22,62.08,60.1,60.04,60.3,59.67,59.0,60.51,62.79,64.13,64.89,65.37,64.84,63.8,63.81,66.19,71.77,77.0,84.02,87.39,90.42,83.32,5.61,-8.48,10.17,303.5,142,0.016,162,0.009000000000000001,,,,,FVF2666,,,FVF2666,0,0
L165NN141	,18.5,16.05,14.0,12.26,10.66,9.12,8.01,7.17,6.32,5.57,5.06,4.76,4.61,4.67,5.04,5.66,7.06,10.13,15.5,23.48,34.43,46.64,57.63,67.84,75.47,79.86,83.06,84.01,84.45,84.62,85.81,46.71,54.66,17.17,57.29,17.44,227-1,0.095,F4S-5,1.07,F4U-7,0.232,,,FVF2666,,,FVF2666,0,0
L165NN146	,60.7,62.95,63.48,64.01,64.59,65.52,68.59,72.36,75.83,78.05,78.64,78.53,77.75,76.47,74.9,73.02,70.84,68.5,65.88,63.57,60.92,58.32,55.88,53.79,52.16,51.03,49.97,49.42,48.68,48.76,50.79,86.99,-13.11,1.75,13.23,172.38,227-1,0.0025,261-8,0.023,,,,,FVF2775,*,,FVF2666,0,0
L165NN147	,52.61,55.89,58.69,60.09,59.75,57.56,54.09,50.51,46.04,41.9,38.26,34.64,31.69,29.17,26.91,24.7,22.83,21.41,20.37,19.52,18.73,18.6,18.76,20.3,23.19,27.86,34.85,41.81,54.02,62.3,70.91,59.67,2.78,-33.01,33.12,274.82,261-8,0.39,F6J,0.87,,,,,FVF2775,,,FVF2666,0,0
L165NN154	,22.5,23.94,26.06,27.56,28.8,30.0,29.98,28.46,25.66,22.65,19.82,17.02,14.65,12.42,10.51,8.68,7.17,5.92,4.94,4.24,3.64,3.19,2.87,2.68,2.57,2.51,2.46,2.45,2.41,2.56,2.84,38.85,-7.88,-36.03,36.88,257.66,227-1,0.0065,261-8,3.0,F6J,0.324,,,FVF3032,,,FVF2666,0,0
L165NN155	,55.75,56.75,54.3,53.14,52.52,50.32,53.91,59.27,60.9,60.2,58.26,55.52,52.73,50.07,47.48,45.07,43.21,41.09,39.06,37.79,37.61,37.65,36.93,35.88,36.05,38.9,45.73,53.23,65.16,72.27,79.28,73.68,-9.52,-8.7,12.9,222.41,122,0.013,142,0.0074,162,0.0535,,,FVF3032,,,FVF2666,1,0
L165NN157	,64.94,69.1,71.06,72.92,73.4,72.9,71.9,70.65,68.47,66.59,65.35,63.24,61.34,61.26,61.49,60.77,60.25,61.87,64.19,65.62,66.48,66.92,66.3,65.34,65.37,67.76,72.92,77.57,83.1,85.52,87.72,83.86,4.96,-6.59,8.25,306.96,142,0.012,162,0.068,,,,,FVF3032,,,FVF2666,0,0
L165NN159	,17.59,15.6,13.66,12.02,10.45,9.02,7.97,7.17,6.36,5.63,5.12,4.83,4.68,4.74,5.03,5.74,7.14,10.18,15.43,23.22,34.13,46.66,57.88,67.89,75.02,79.03,82.16,83.21,83.93,84.23,85.47,46.69,54.35,17.53,57.11,17.88,227-1,0.079,F4S-5,0.938,F4U-7,0.177,,,FVF3032,,,FVF2666,0,0
L168NN136	,50.72,53.93,56.15,58.35,60.33,62.4,63.59,63.78,62.87,61.06,58.51,55.26,51.68,47.68,43.72,39.88,36.47,33.16,30.28,27.9,25.69,23.71,21.93,20.54,19.57,19.05,18.66,18.56,18.36,18.51,20.25,69.9,-16.83,-21.5,27.31,231.94,261-8,0.25,264-1,0.029,,,,,FVF4948,,,FVF2429,0,0
L168NN138	,61.04,62.62,61.64,61.56,61.77,60.21,64.0,69.35,71.67,71.62,71.16,69.78,68.23,67.24,66.21,64.76,63.47,62.78,61.88,61.3,61.3,61.43,60.87,59.81,59.87,62.55,68.43,74.18,81.24,84.72,87.71,84.52,-5.33,0.86,5.4,170.82,122,0.066,142,0.0042,162,0.01,,,FVF3033,,,FVF2184,0,0
L169NN015	,65.62,66.04,62.83,61.1,60.31,57.52,60.66,65.19,66.05,64.81,63.63,61.38,59.27,59.07,58.96,58.02,57.18,58.25,59.91,60.77,61.29,61.62,60.92,59.71,59.62,62.18,68.04,73.83,81.14,84.86,88.36,81.93,0.6,-1.23,1.37,295.81,122,0.012,142,0.021,162,0.015,,,FVF2429,,,FVF2429,0,0
L169NN017	,27.56,25.54,23.3,21.24,20.07,20.16,21.48,25.67,36.02,48.42,51.4,48.62,43.12,37.5,32.51,28.0,24.16,20.9,18.2,15.95,13.88,12.13,10.77,9.92,9.53,9.28,9.08,9.04,8.87,8.98,10.13,59.77,-40.52,5.2,40.85,172.69,223-3,0.085,227-1,0.0093,F6C-5,1.429,,,FVF2429,,,FVF2429,0,0
L169NN018	,45.08,44.39,42.64,41.7,41.52,42.0,45.93,52.53,62.11,69.84,71.62,70.46,67.14,62.88,58.34,53.72,49.45,45.42,41.81,38.73,35.68,33.13,31.1,29.78,29.07,28.73,29.31,28.2,27.82,27.8,29.6,76.97,-28.28,4.42,28.62,171.12,223-3,0.003,227-1,0.019,F6C-5,0.215,,,FVF2429,,,FVF2429,0,0
L169NN023	,40.31,37.61,32.02,29.45,28.6,25.88,29.18,34.57,35.96,35.3,34.47,32.59,30.97,31.77,33.43,33.5,33.13,38.48,50.11,64.85,78.26,86.06,89.38,90.76,91.06,91.2,91.36,91.47,91.49,91.4,91.6,73.18,29.81,19.19,35.45,32.77,122,0.13,142,0.203,,,,,FVF2429,,,FVF2429,0,0
L16ANN002	,41.28,43.55,45.73,45.79,43.97,40.64,36.38,32.55,28.54,24.95,21.81,19.04,16.92,14.9,13.12,11.66,10.56,9.45,8.53,7.99,7.64,7.54,7.54,8.23,9.97,13.22,18.48,23.84,34.25,42.36,52.41,44.58,7.72,-40.86,41.58,280.71,F51-5,0.165,F6J,0.44,,,,,FVF2666,,,FVF2666,0,0
L16ANN106	,62.84,64.34,61.7,60.66,59.99,57.5,60.55,64.94,65.65,64.39,63.2,60.86,58.78,58.63,58.55,57.64,56.82,57.94,59.66,60.47,61.06,61.41,60.73,59.55,59.58,62.25,68.2,73.9,80.96,84.36,87.42,81.74,0.76,-1.23,1.44,301.62,122,0.0089,142,0.0176,162,0.012,,,FVF2775,*,,FVF2666,0,0
L16ANN121	,62.94,63.39,61.42,60.51,59.87,57.72,59.8,62.76,63.24,62.33,61.58,60.02,58.53,58.43,58.36,57.68,56.93,57.66,58.88,59.51,60.03,60.45,60.01,59.15,59.25,61.78,67.27,72.33,78.41,82.55,86.69,81.41,0.82,-1.14,1.4,305.73,122,0.0117,142,0.0247,162,0.0205,,,FVF4244,,,FVF2184,0,0
L16ANN126	,27.83,29.51,31.48,31.94,32.19,32.91,34.32,36.99,41.99,44.08,41.27,36.01,30.73,25.54,21.02,16.89,13.3,10.38,8.3,6.92,5.78,4.84,4.25,4.04,4.05,4.23,4.46,4.64,4.81,5.16,5.78,51.08,-31.15,-24.43,39.59,218.11,223-3,0.028,261-8,0.8859999999999999,F6C-6,3.0,,,FVF4244,,,FVF2184,0,0
L16ANN133	,24.24,25.55,26.87,27.92,28.95,30.11,33.52,36.87,38.92,38.57,35.86,32.01,27.97,23.88,20.18,16.69,13.61,11.02,9.04,7.6,6.36,5.3,4.55,4.27,4.16,4.19,4.24,4.3,4.32,4.52,5.18,49.94,-28.17,-22.66,36.15,218.81,227-1,0.038,261-8,0.775,F6C-6,3.0,,,FVF4948,*,,FVF2429,0,0
L16ANN170,30.58,31.99,33.0,33.35,33.12,31.79,30.19,28.14,24.93,21.56,18.48,15.54,13.13,11.08,9.42,7.89,6.62,5.6,4.88,4.42,4.02,3.77,3.7,3.84,4.39,5.41,6.9,8.19,9.69,10.68,12.41,38.18,1.3,-40.7,40.72,271.84,227-1,0.02,261-8,0.57,F6J,0.88,,,FVF4844,,,FVF2184,0,0
L16ANN172	,23.56,24.92,26.42,27.42,28.44,29.49,33.41,37.76,40.88,40.95,37.54,32.74,27.9,23.13,18.93,15.09,11.81,9.21,7.35,6.11,5.12,4.31,3.82,3.64,3.67,3.83,4.02,4.17,4.31,4.63,5.21,49.05,-31.0,-24.24,39.35,218.03,227-1,0.061,261-8,1.09,F6C-5,3.05,,,FVF2184,,,FVF2184,0,0
L16ANN191	,31.84,33.98,36.22,36.21,35.19,32.16,28.18,24.6,20.88,17.55,14.77,12.37,10.54,8.91,7.57,6.47,5.63,4.85,4.29,3.99,3.74,3.64,3.67,3.97,4.94,6.95,10.69,14.9,23.94,31.27,40.46,35.53,11.26,-44.83,46.22,284.1,F51-5,0.235,F6J,0.87,,,,,FVF2666,,,FVF2666,0,0
L16ANN196,62.17,61.36,57.51,55.59,54.95,52.44,55.92,61.37,63.61,62.75,60.65,57.92,55.13,52.13,49.27,46.86,45.02,42.75,40.47,39.12,38.95,38.93,38.46,37.45,37.54,40.27,46.78,53.91,65.85,73.34,81.08,74.86,-9.71,-9.04,13.27,222.95,122,0.028,142,0.01,162,0.131,,,FVF3033,,,FVF2184,0,0
L16ANN199	,59.24,59.02,56.23,54.97,54.37,52.2,55.58,60.6,62.25,61.63,59.86,57.26,54.57,51.91,49.32,46.94,45.08,43.0,40.88,39.57,39.42,39.42,38.97,37.93,38.06,40.91,47.84,55.4,67.32,74.33,81.3,74.84,-9.12,-8.42,12.41,222.71,122,0.0184,142,0.0106,162,0.08199999999999999,,,FVF3073,,,FVF2184,0,0
L16ANN201	,18.65,16.18,14.07,12.38,10.81,9.33,8.3,7.5,6.69,5.93,5.38,5.07,4.91,4.96,5.33,5.95,7.35,10.34,15.69,23.62,34.73,47.68,59.55,70.45,78.63,83.59,87.15,88.44,89.21,89.43,90.22,47.35,54.93,17.56,57.67,17.73,227-1,0.11,F4S-5,0.93,F4U-7,0.32,,,FVF3073,,,FVF2184,0,0
L16ANN204	,61.78,61.3,57.42,55.42,54.74,52.04,55.61,61.2,63.35,62.41,60.51,57.76,54.88,52.22,49.61,47.1,45.08,42.91,40.73,39.31,39.08,39.1,38.23,37.02,37.11,40.17,47.4,55.09,66.95,73.69,80.35,74.89,-9.76,-8.75,13.11,221.9,122,0.0292,142,0.0173,162,0.099,,,FVF2184,,,FVF2184,0,0
L16ANN205	,17.94,15.8,14.25,12.96,11.8,10.75,9.8,9.03,8.32,7.65,7.08,6.66,6.41,6.3,6.41,6.72,7.26,7.94,8.69,9.28,9.53,9.66,9.77,10.37,11.73,14.14,17.53,20.57,24.54,26.95,30.31,33.97,13.54,-9.07,16.3,326.18,228-9,0.243,461-9,0.72,F4U-7,0.5,,,FVF2184,,,FVF2184,0,0
L16ANN208	,12.93,10.75,9.1,7.15,5.62,4.5,3.78,3.37,3.09,2.92,2.83,2.81,2.86,3.03,3.28,3.67,4.52,6.66,11.11,19.03,31.97,47.99,62.49,75.15,83.78,87.96,90.75,91.0,90.72,89.89,91.07,44.22,60.71,29.94,67.69,26.25,F24-3,0.605,F4S-5,2.82,F4U-7,0.112,,,FVF2184,,,FVF2184,0,0
L16ANN209	,18.87,16.51,14.4,12.55,10.95,9.41,8.34,7.51,6.69,5.91,5.37,5.07,4.89,4.93,5.27,5.85,7.16,10.01,15.17,23.01,34.24,47.24,58.96,69.5,77.26,81.9,85.35,86.63,87.4,87.66,88.63,47.02,54.77,16.68,57.25,16.94,227-1,0.11,F4S-5,1.03,F4U-7,0.32,,,FVF2184,,,FVF2184,0,0
L16ANN210	,9.42,7.62,6.52,5.07,4.04,3.35,2.99,2.8,2.69,2.66,2.7,2.8,3.08,3.55,4.19,4.99,6.22,8.86,13.89,22.21,35.13,50.84,64.77,76.35,83.97,87.51,89.87,90.0,89.59,88.77,89.69,45.96,58.73,39.53,70.79,33.94,F24-3,1.65,F4S-5,1.92,F4U-7,0.08,,,FVF2184,*,,FVF2184,0,0
L16ANN212	,21.59,24.4,24.87,22.99,21.09,19.08,17.89,16.93,15.63,14.32,13.24,12.41,12.19,12.19,12.74,13.99,16.39,21.26,29.4,40.94,55.98,69.93,78.98,84.77,87.75,88.25,89.31,89.38,88.72,87.77,88.47,59.11,49.23,13.89,51.15,15.76,227-1,0.0635,F4S-5,0.595,F4U-7,0.07400000000000001,,,FVF2184,,,FVF2184,0,0
L16ANN213	,59.06,59.16,55.11,53.05,52.35,49.67,53.41,59.23,61.53,60.54,58.44,55.54,52.67,49.88,47.17,44.78,42.92,40.76,38.63,37.39,37.18,37.24,36.52,35.5,35.63,38.44,45.08,52.44,64.94,72.88,81.08,73.54,-9.82,-8.89,13.25,222.15,122,0.018000000000000002,142,0.009000000000000001,162,0.07,,,FVF2869,*,,FVF2666,0,0
L16ANN214	,18.77,16.27,14.2,12.45,10.87,9.38,8.33,7.54,6.7,5.91,5.38,5.07,4.9,4.98,5.28,6.03,7.51,10.7,16.28,24.51,35.75,48.12,59.07,69.27,76.91,81.32,84.51,85.55,86.17,86.43,87.57,47.5,54.55,17.66,57.34,17.94,227-1,0.096,F4S-5,0.916,F4U-7,0.213,,,FVF2869,*,,FVF2666,0,0
L16ANN215	,7.91,5.59,4.65,4.36,4.53,5.03,6.55,9.66,17.11,27.24,34.18,38.51,41.79,45.22,48.72,52.57,56.07,59.03,61.49,63.48,65.03,66.53,67.69,68.54,69.54,71.09,73.22,75.15,77.43,78.69,80.21,76.02,3.82,70.67,70.78,86.91,228-9,0.12,322-6,1.05,264-1,0.0024,,,FVF3925,,,FVF2429,0,0
L16ANN217	,33.09,35.15,37.5,38.38,37.35,34.29,29.98,26.04,21.89,18.27,15.33,12.71,10.63,8.91,7.57,6.36,5.39,4.62,4.1,3.82,3.55,3.42,3.42,3.65,4.38,6.05,9.51,13.57,22.92,30.85,40.96,35.65,11.91,-47.14,48.63,284.17,F6J,1.18,F51-5,0.035,,,,,FVF4084,*,,FVF2184,0,0
L16ANN222	,25.14,26.75,28.67,29.83,30.78,31.62,31.69,30.85,28.27,24.95,21.69,18.46,15.72,13.23,11.13,9.17,7.53,6.23,5.24,4.57,3.98,3.59,3.31,3.18,3.12,3.11,3.11,3.13,3.12,3.27,3.61,40.22,-8.04,-36.81,37.68,257.67,227-1,0.02,261-8,3.0,F6J,0.44,,,FVF4244,*,,FVF2184,0,0
L16ANN223	,57.37,57.98,54.65,53.08,52.37,50.05,53.51,58.76,60.37,59.72,57.83,55.17,52.46,49.94,47.49,45.23,43.38,41.48,39.52,38.29,38.14,38.26,37.6,36.54,36.68,39.52,46.22,53.44,64.89,72.32,79.86,73.75,-8.91,-8.36,12.22,223.17,122,0.024,142,0.016,162,0.1,,,FVF4244,,,FVF2184,0,0
L16ANN224	,17.09,15.31,13.92,12.62,11.52,10.49,9.56,8.82,8.13,7.45,6.89,6.47,6.22,6.1,6.22,6.5,7.0,7.64,8.38,8.91,9.15,9.26,9.38,9.84,11.14,13.46,16.8,19.85,23.97,26.47,29.88,33.39,13.23,-9.28,16.17,324.95,228-9,0.24,F4U-7,0.505,461-9,0.745,,,FVF4244,*,,FVF2184,0,0
L16ANN229	,69.81,71.79,72.98,73.51,73.41,72.45,71.16,69.76,67.43,65.5,64.53,62.64,60.9,61.57,63.04,63.17,62.66,66.85,73.66,79.28,82.58,83.82,84.12,84.18,84.21,84.69,85.98,86.12,86.06,87.77,89.63,86.48,12.6,-1.96,12.75,351.17,142,0.027000000000000003,162,0.0014,,,,,FVF4244,*,,FVF2184,0,0
L16ANN233	,19.23,16.91,14.79,12.84,11.12,9.51,8.32,7.43,6.56,5.8,5.26,4.97,4.83,4.91,5.2,5.91,7.36,10.57,16.24,24.56,35.93,48.47,59.51,69.19,76.19,80.27,83.2,83.71,83.82,84.83,87.08,47.42,54.88,17.09,57.48,17.3,227-1,0.098,F4S-5,1.095,F4U-7,0.29,,,FVF4244,,,FVF2184,0,0
L16ANN236	,29.88,27.6,25.34,23.85,22.7,21.73,20.97,20.34,19.6,18.4,17.15,16.15,15.75,15.8,16.28,17.82,20.39,24.59,30.38,37.18,45.25,54.27,62.51,69.47,74.57,78.33,80.87,81.64,82.58,84.49,86.56,59.21,36.99,9.26,38.13,14.06,322-6,0.05,F4U-7,0.21,,,,,FVF4244,,,FVF2184,0,0
L16ANN238	,38.14,40.01,41.48,41.84,40.6,37.93,34.31,30.94,27.3,24.0,21.14,18.62,16.61,14.71,13.06,11.66,10.59,9.5,8.62,8.08,7.73,7.59,7.58,8.26,9.98,13.14,18.25,23.5,34.23,42.76,53.12,44.22,6.23,-38.1,38.61,279.29,F51-5,0.14,F6J,0.48,,,,,FVF4948,,,FVF2429,0,0
L16ANN243	,9.09,7.57,6.51,5.18,4.16,3.45,2.97,2.72,2.6,2.54,2.57,2.67,2.91,3.35,3.9,4.69,5.99,8.91,14.36,23.07,36.34,52.1,65.59,76.06,82.3,84.57,86.13,86.21,85.48,84.71,86.15,46.0,59.15,39.49,71.12,33.73,322-6,0.068,F24-3,1.15,F4S-5,1.95,,,FVF4948,,,FVF2429,0,0
L16ANN245	,27.37,25.19,23.19,21.78,20.79,19.95,19.3,18.83,18.17,17.11,16.0,15.12,14.77,14.8,15.24,16.6,18.92,22.81,28.26,35.02,43.3,52.8,61.47,68.84,74.37,78.31,80.89,82.41,83.94,84.74,85.53,57.93,37.65,10.38,39.06,15.41,322-6,0.046,F4U-7,0.23,,,,,FVF4948,,,FVF2429,0,0
L16ANN307	,44.15,42.31,37.53,35.23,34.44,31.75,35.6,41.74,43.77,43.3,41.99,39.66,37.4,36.49,35.88,34.56,33.23,33.15,33.11,33.13,33.31,33.56,32.91,31.93,32.13,34.98,41.67,48.86,60.56,68.21,76.24,66.32,-4.73,-1.32,4.91,195.55,122,0.0945,142,0.0895,162,0.139,,,FVF4244,*,,FVF2184,0,0
L16BNN006	,55.13,55.96,55.13,54.94,55.03,55.38,58.88,62.85,66.22,67.3,66.08,63.21,59.63,55.51,51.38,47.32,43.67,39.99,36.72,34.04,31.56,29.41,27.38,25.71,24.61,24.05,23.71,23.7,23.52,23.65,25.62,74.14,-21.12,-11.59,24.09,208.76,227-1,0.0126,261-8,0.19,264-1,0.03,,,FVF2184,*,,FVF2184,0,0
L16BNN017	,51.89,54.8,56.49,57.79,57.99,57.55,55.66,53.15,49.66,46.13,42.79,39.37,36.37,33.45,30.78,28.2,25.7,23.38,21.55,20.07,18.67,17.54,16.87,17.01,17.95,19.62,21.38,22.64,23.54,24.29,26.45,61.55,-6.13,-30.18,30.8,258.51,261-8,0.188,F6J,0.12,,,,,FVF4244,,,FVF2184,1,0
L16BNN052,31.94,33.7,36.05,36.38,35.07,32.04,28.14,24.67,21.11,17.96,15.33,12.99,11.16,9.57,8.22,7.08,6.19,5.35,4.76,4.43,4.14,4.03,4.04,4.36,5.35,7.39,11.13,15.23,24.04,31.48,41.21,36.49,9.93,-43.19,44.32,282.94,F51-5,0.163,F6J,0.75,,,,,FVF2775,,,FVF2666,0,0
L16BNN055	,37.88,35.52,32.86,31.06,30.6,31.33,34.3,40.77,54.53,67.96,70.57,66.63,60.7,54.57,48.94,43.68,39.06,34.96,31.37,28.31,25.36,22.7,20.42,18.7,17.46,16.55,15.76,15.3,14.82,14.98,16.38,71.31,-38.4,6.3610000000000015,38.97,170.23,223-3,0.024,261-8,0.447,322-6,0.0266,,,FVF2184,*,,FVF2184,1,0
L16BNN059	,63.71,65.7,65.58,66.13,66.46,67.05,70.13,73.62,76.84,78.87,79.47,79.35,78.66,77.56,76.14,74.36,72.24,70.07,67.64,65.35,62.6,60.02,57.61,55.6,54.0,52.86,51.81,51.26,50.62,50.79,52.99,87.65,-12.31,1.52,12.4,172.97,227-1,0.0031,261-8,0.025,,,,,FVF4948,*,,FVF2429,0,0
L16BNN065	,20.63,18.0,15.59,13.53,11.84,10.27,9.24,8.51,7.74,7.04,6.67,6.5,6.59,6.96,7.99,10.11,13.89,21.52,33.73,49.28,65.82,76.99,82.33,85.37,86.88,86.89,87.4,87.2,86.61,86.16,87.04,57.63,56.95,31.94,65.3,29.29,227-1,0.1,F4X-9,1.14,,,,,FVF4948,,,FVF2429,0,0
L16BNN118	,9.17,7.28,6.28,4.91,3.95,3.34,2.98,2.8,2.69,2.66,2.69,2.78,2.98,3.37,3.9,4.6,5.78,8.44,13.51,21.82,34.6,50.19,64.27,76.13,83.87,87.07,89.03,89.16,88.32,87.38,88.47,45.56,59.02,39.22,70.87,33.61,F24-3,1.4880000000000002,F4S-5,2.256,F4U-7,0.029,,,FVF4084,*,,FVF2184,0,0
L16BNN119	,8.68,7.32,6.33,4.95,3.98,3.39,3.05,2.88,2.79,2.76,2.79,2.88,3.09,3.5,4.08,4.88,6.18,9.12,14.58,23.21,35.72,50.09,62.7,73.23,80.01,83.19,85.27,84.99,84.12,84.39,86.38,45.79,57.65,39.28,69.76,34.27,F24-3,1.54,F4S-5,1.9,F4U-7,0.095,,,FVF4244,*,,FVF2184,0,0
L16BNN138	,39.17,37.43,35.0,33.04,31.96,32.11,35.01,41.53,55.11,68.15,70.74,68.07,62.51,56.34,50.58,45.18,40.51,36.29,32.66,29.62,26.64,24.03,21.79,20.13,18.89,17.98,17.23,16.8,16.31,16.5,17.92,72.21,-37.42,6.77,38.03,169.75,223-3,0.022,227-1,0.012,261-8,0.34,,,FVF4948,,,FVF2429,0,0
