LAB,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L,a,b,C,H,染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,標記,標準色片,單色光,revised,abort
L182NN037,55.45,53.52,48.51,46.11,45.46,42.76,47.89,56.78,62.4,63.94,63.98,63.19,61.84,62.83,64.47,64.57,64.33,69.04,76.32,82.34,85.85,87.28,87.71,87.97,88.11,88.43,88.85,89.14,89.51,89.69,89.95,86.7,6.95,48.56,19.82,69.47,142,0.02,122,0.04,,,,,FVF4948,,,FVF2429,0,0
L182NN038,57.84,59.5,60.71,61.84,63.08,64.65,66.88,68.46,68.52,67.74,65.46,62.22,58.67,54.63,50.67,46.63,42.88,39.41,36.21,33.44,30.86,28.38,26.09,24.38,23.2,22.43,21.76,21.18,20.9,21.02,22.81,73.96,-18.35,-17.93,25.66,224.34,227-1,0.0025,264-1,0.012,261-8,0.27,,,FVF2184,,,FVF2184,0,0
L182NN039,41.59,39.62,37.05,35.72,34.91,34.34,35.76,37.98,39.54,39.72,38.82,37.77,37.1,36.8,36.82,37.58,38.9,40.22,40.96,41.27,41.68,41.88,41.78,41.81,42.38,44.86,49.81,56.03,63.5,67.96,73.8,68.88,2.78,3.64,4.58,52.58,227-1,0.039,244-4,0.083,264-1,0.039,,,FVF3925,*,,FVF2429,0,0
L182NN041,8.57,7.05,6.13,4.87,3.92,3.34,3.0,2.83,2.73,2.69,2.72,2.82,3.06,3.5,4.07,4.83,6.04,8.82,14.01,22.76,36.39,52.47,66.42,78.51,86.5,89.67,91.49,91.17,90.12,89.32,90.38,45.33,59.6,40.65,72.14,34.3,F24-3,1.5,F4S-5,1.52,,,,,FVF3172,,,FVF2184,0,0
L182NN044,9.86,7.92,6.99,6.74,6.95,7.76,9.53,12.4,17.71,21.27,20.59,18.39,16.06,13.88,11.94,10.07,8.51,7.18,6.13,5.32,4.63,4.07,3.67,3.39,3.22,3.15,3.09,3.06,3.11,3.33,3.82,38.61,-32.53,1.65,32.58,177.1,322-6,0.35,261-8,1.45,F6B-6,0.6,,,FVF3032,*,,FVF2666,0,0
L182NN045,17.88,16.9,16.91,17.02,17.2,17.56,19.75,21.97,22.85,22.03,19.83,17.18,14.78,12.53,10.6,8.76,7.25,6.04,5.1,4.38,3.84,3.42,3.11,2.96,2.9,2.92,2.97,3.02,3.17,3.49,4.01,38.08,-19.38,-21.35,28.83,227.77,227-1,0.08,F6B-6,0.8,F6C-5,2.4,,,FVF3032,,,FVF2666,0,0
L182NN046,38.05,35.68,30.81,28.71,28.0,25.66,29.52,36.29,39.89,39.9,39.27,37.24,35.24,34.89,34.82,33.94,33.03,33.81,35.07,35.63,36.29,36.54,35.68,34.61,34.66,37.34,44.43,54.39,66.8,73.74,81.75,66.04,-2.8,6.16,6.76,114.42,122,0.098,142,0.067,162,0.058,,,FVF3032,*,,FVF2666,0,0
L182NN048,8.42,6.37,5.43,4.88,4.43,4.13,3.86,3.7,3.55,3.43,3.27,3.13,2.99,2.92,2.96,3.03,3.22,3.55,4.19,5.11,6.24,7.4,8.39,9.52,11.08,13.31,16.31,19.42,22.57,24.4,27.42,24.67,18.01,0.41,18.01,1.31,461-9,0.44,432,0.7,F4I,1.15,,,FVF3032,,,FVF2666,0,0
L182NN049,10.01,7.3,6.17,5.63,5.58,5.75,6.43,7.65,9.92,12.05,13.74,16.0,20.54,29.09,41.72,56.48,66.9,72.0,75.06,77.02,78.56,79.66,80.38,81.03,81.86,83.05,84.19,85.04,85.86,86.16,86.6,76.05,23.69,75.95,79.56,72.68,322-6,0.35,228-1,0.01,F24-3,0.19,,,FVF3032,,,FVF2666,1,0
L182NN051,29.93,29.19,28.15,27.9,28.11,28.67,32.76,38.27,44.31,47.49,46.43,43.11,39.18,35.17,31.41,27.73,24.4,21.54,19.0,16.82,14.81,12.89,11.27,10.1,9.31,8.75,8.21,7.83,7.6,7.76,8.69,59.65,-31.06,-7.24,31.89,193.12,227-1,0.062,261-8,0.98,,,,,FVF2429,,,FVF2429,0,0
