400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L,a,b,C,H,染料_1,濃度_1,布號,revised,abort
34.9,31.13,27.72,24.9,23.19,23.24,26.04,33.74,55.67,87.87,118.85,128.94,125.92,117.95,109.77,103.51,98.93,95.03,92.04,89.81,88.75,87.64,86.7,86.5,86.39,86.61,87.06,87.46,88.09,88.2,88.52,99.19,-30.62,59.14,66.6,117.37,223-3,0.06,FVF2429,0,0
13.29,10.05,7.95,6.49,5.67,5.78,6.75,10.8,26.12,55.52,95.42,125.28,133.77,128.89,118.96,109.9,103.18,97.68,93.28,89.86,88.17,86.46,85.02,84.81,84.71,84.97,85.56,85.87,86.55,86.7,87.26,98.89,-34.38,94.35,100.42,110.02,223-3,0.5,FVF2429,0,0
6.02,4.22,3.3,2.76,2.52,2.52,2.85,4.56,13.13,35.17,70.86,103.01,120.13,123.02,117.26,109.84,103.64,98.39,93.91,90.21,88.34,86.33,84.54,84.17,84.15,84.44,85.19,85.58,86.43,86.66,87.32,96.9,-28.15,108.12,111.72,104.6,223-3,1.5,FVF2429,0,0
3.75,2.71,2.33,2.13,2.02,2.04,2.19,3.03,7.82,23.1,53.88,84.95,104.36,111.86,110.93,106.67,102.13,97.97,94.33,91.13,89.68,87.8,85.88,85.68,85.53,85.77,85.92,85.96,86.18,86.19,86.48,94.83,-20.36,112.58,114.41,100.25,223-3,3,FVF2429,0,0
56.04,57.6,57.18,55.27,52.38,49.03,45.66,42.91,40,37.67,35.89,34.6,34.07,34.01,34.73,36.79,40.44,47.12,57.12,69.53,82.91,91.24,93.42,94.76,94.96,94.58,94.31,93.05,92.07,91.39,91.75,76.23,34.9,2.12,34.96,3.47,F4S-5,0.06,FVF2429,0,0
23.51,21.51,19.01,16.18,13.51,11.1,9.11,7.74,6.53,5.68,5.13,4.82,4.75,4.85,5.29,6.03,7.79,11.5,18.14,28.29,43.3,60.51,74.64,87.25,94.63,96.27,97.89,95.73,93.52,91.7,92.98,59.36,55.85,10.88,56.92,11.13,F4S-5,0.5,FVF2429,0,0
23.51,21.51,19.01,16.18,13.51,11.1,9.11,7.74,6.53,5.68,5.13,4.82,4.75,4.85,5.29,6.03,7.79,11.5,18.14,28.29,43.3,60.51,74.64,87.25,94.63,96.27,97.89,95.73,93.52,91.7,92.98,50.69,61.78,17.76,64.28,16.03,F4S-5,1.5,FVF2429,0,0
16.01,14.07,11.98,9.8,7.83,6.2,4.93,4.14,3.5,3.12,2.86,2.72,2.68,2.76,2.98,3.43,4.37,6.66,11.28,19.08,31.36,46.17,59.48,72.51,81.83,86.06,89.64,89.33,88.78,87.72,89.95,43.79,61.13,22.05,64.98,19.84,F4S-5,3,FVF2429,0,0
54.92,56.22,55.62,53.62,50.78,47.56,44.45,41.96,39.44,37.54,36.25,35.58,35.81,36.38,38.3,42.28,48.67,58.56,70.5,80.5,86.84,88.74,88.56,88.59,88.54,88.63,88.65,88.7,88.87,88.59,89.32,78.61,31,7.54,31.91,13.68,F4X-9,0.06,FVF2429,0,0
35.65,33.55,30.49,26.93,23.41,20.22,17.5,15.58,13.81,12.54,11.79,11.47,11.54,12.1,13.49,16.36,21.38,30.19,43.28,58.97,75.12,85.32,88.73,90.98,91.61,91.46,91.43,90.48,89.8,89.27,89.85,63.75,53.45,19.37,56.85,19.91,F4X-9,0.5,FVF2429,0,0
23.88,21.52,18.76,15.81,13.08,10.72,8.82,7.55,6.47,5.77,5.41,5.26,5.35,5.68,6.58,8.5,12.1,18.99,29.72,43.43,59.23,71.51,77.56,81.9,84.41,84.97,86.11,85.93,85.63,85.34,86.79,55.18,58.59,26.23,64.19,24.12,F4X-9,1.5,FVF2429,0,0
17.09,14.87,12.47,10.06,7.95,6.27,5.04,4.27,3.65,3.33,3.12,3.05,3.13,3.33,3.9,5.05,7.47,12.65,21.49,33.45,47.94,60.67,68.34,74.15,77.76,79.22,81.18,81.34,81.66,81.73,83.6,49.43,59.91,31.01,67.46,27.37,F4X-9,3,FVF2429,0,0
41.2,40.25,39.24,38.57,38.3,38.46,39.27,40.47,42.23,44.02,45.95,48.34,51.19,54.41,58.14,62.51,66.63,70.32,73.58,76.1,78.04,79.51,80.44,81.31,82.12,83.26,84.4,85.28,86.8,87.24,87.82,83.16,10.52,23.9,26.12,66.25,228-9,0.06,FVF2429,0,0
